source_id,organisation,topic,title,source_url,accessed_at,HTTP_status,raw_file,cleaned_file,word_count,character_count,content_hash,extraction_method,collection_status,review_status,error_message
NHS_DEP_001,NHS,depression,Overview - Depression in adults,https://www.nhs.uk/mental-health/conditions/depression-in-adults/overview/,2026-07-18T19:41:28Z,200.0,knowledge_base/raw/NHS_DEP_001.html,knowledge_base/cleaned/NHS_DEP_001.md,650,3963,82d5485bd98ea2babf5b946618b8eec35ba169dc5d7cd2f83ba216a67d740c65,beautifulsoup_main_content_selectors,success,pending,
NHS_DEP_002,NHS,depression,Causes - Depression in adults,https://www.nhs.uk/mental-health/conditions/depression-in-adults/causes/,2026-07-18T19:48:15Z,200.0,knowledge_base/raw/NHS_DEP_002.html,knowledge_base/cleaned/NHS_DEP_002.md,617,3801,27c0bdba4856b9502ed521cde8f99b7ea6c748b85523376c43d48f34b8c15ecd,beautifulsoup_main_content_selectors,success,pending,
NHS_DEP_003,NHS,depression,Diagnosis - Depression in adults,https://www.nhs.uk/mental-health/conditions/depression-in-adults/diagnosis/,2026-07-18T19:48:18Z,200.0,knowledge_base/raw/NHS_DEP_003.html,knowledge_base/cleaned/NHS_DEP_003.md,310,1797,1ca6bb36971fea88e7793a7773ef1f023782ebc793506039b102513a972eba35,beautifulsoup_main_content_selectors,success,pending,
NHS_DEP_004,NHS,depression,Treatment - Depression in adults,https://www.nhs.uk/mental-health/conditions/depression-in-adults/treatment/,2026-07-18T19:48:21Z,200.0,knowledge_base/raw/NHS_DEP_004.html,knowledge_base/cleaned/NHS_DEP_004.md,2312,14591,1ffa576eddb7ad8dfe598be6a7c82475f3420664d05aea3b68741ce993c4e18f,beautifulsoup_main_content_selectors,success,pending,
NHS_DEP_005,NHS,depression,Living with - Depression in adults,https://www.nhs.uk/mental-health/conditions/depression-in-adults/living-with/,2026-07-18T19:48:23Z,200.0,knowledge_base/raw/NHS_DEP_005.html,knowledge_base/cleaned/NHS_DEP_005.md,1242,7364,b3432a456b5eba5e19ef3f47a3aa614a696659eea0a410b294547f7a2533e01b,beautifulsoup_main_content_selectors,success,pending,
NHS_DEP_006,NHS,depression,Support groups - Depression in adults,https://www.nhs.uk/mental-health/conditions/depression-in-adults/support-groups/,2026-07-18T19:48:26Z,200.0,knowledge_base/raw/NHS_DEP_006.html,knowledge_base/cleaned/NHS_DEP_006.md,517,3074,797ee634386aea7e9e9ea6d3449a65e343778c5c701402380ac9ad4120e86726,beautifulsoup_main_content_selectors,success,pending,
NHS_DEP_PREG_001,NHS,perinatal_mental_health,Depression in pregnancy,https://www.nhs.uk/pregnancy/mental-health-in-pregnancy-and-after-the-birth/depression/,2026-07-18T19:48:29Z,200.0,knowledge_base/raw/NHS_DEP_PREG_001.html,knowledge_base/cleaned/NHS_DEP_PREG_001.md,664,3933,49eeaf97b28817f3b7f44288d591fb0e26d82763d759af335dce1d5a7ae768db,beautifulsoup_main_content_selectors,success,pending,
NHS_PND_001,NHS,postnatal_depression,Postnatal depression,https://www.nhs.uk/mental-health/conditions/postnatal-depression/,2026-07-18T19:48:31Z,200.0,knowledge_base/raw/NHS_PND_001.html,knowledge_base/cleaned/NHS_PND_001.md,1092,6407,e119ff6e23a538a9ba6f764c0ae56c82bc9d5c7194e5393ee406031bab4f33e4,beautifulsoup_main_content_selectors,success,pending,
NHS_MH_PREG_001,NHS,perinatal_mental_health,Mental health in pregnancy,https://www.nhs.uk/pregnancy/mental-health-in-pregnancy-and-after-the-birth/mental-health/,2026-07-18T19:48:34Z,200.0,knowledge_base/raw/NHS_MH_PREG_001.html,knowledge_base/cleaned/NHS_MH_PREG_001.md,584,3456,111fb541652ca61f4fdf900a484e576c8fc698d2212b67d33afc4ec3829eddac,beautifulsoup_main_content_selectors,success,pending,
NHS_PPP_001,NHS,postpartum_psychosis,Postpartum psychosis,https://www.nhs.uk/mental-health/conditions/post-partum-psychosis/,2026-07-18T19:48:37Z,200.0,knowledge_base/raw/NHS_PPP_001.html,knowledge_base/cleaned/NHS_PPP_001.md,1371,8277,8fd778b459fec31ad25146ca1e1f701a82b2a49d51636c33413d26c23a77bbb6,beautifulsoup_main_content_selectors,success,pending,
NHS_BIP_001,NHS,bipolar_disorder,Bipolar disorder,https://www.nhs.uk/mental-health/conditions/bipolar-disorder/,2026-07-18T19:48:39Z,200.0,knowledge_base/raw/NHS_BIP_001.html,knowledge_base/cleaned/NHS_BIP_001.md,1253,7212,d9f99ad3d7f474d07832520ea2d4306141860412392e46342dda7cd1a7384af2,beautifulsoup_main_content_selectors,success,pending,
NHS_SCHIZ_001,NHS,schizophrenia,Overview - Schizophrenia,https://www.nhs.uk/mental-health/conditions/schizophrenia/overview/,2026-07-18T19:48:42Z,200.0,knowledge_base/raw/NHS_SCHIZ_001.html,knowledge_base/cleaned/NHS_SCHIZ_001.md,409,2658,08d0754e5b8c959de020bb0ac8df743eb1d4c64b22b288ca7ae8c2692ced6298,beautifulsoup_main_content_selectors,success,pending,
NHS_CBT_001,NHS,therapy_cbt,Cognitive behavioural therapy (CBT),https://www.nhs.uk/tests-and-treatments/cognitive-behavioural-therapy-cbt/,2026-07-18T19:48:45Z,200.0,knowledge_base/raw/NHS_CBT_001.html,knowledge_base/cleaned/NHS_CBT_001.md,863,5041,60b78e8207433f080e8e63fe42f0e81f3a64fb937bd67f86c9c063c34c999573,beautifulsoup_main_content_selectors,success,pending,
NHS_URGENT_001,NHS,crisis_urgent_help,Where to get urgent help for mental health,https://www.nhs.uk/nhs-services/mental-health-services/where-to-get-urgent-help-for-mental-health/,2026-07-18T19:48:47Z,200.0,knowledge_base/raw/NHS_URGENT_001.html,knowledge_base/cleaned/NHS_URGENT_001.md,525,2968,9d5abdd391105766ee26c8e9c766c8f6ed134445e611d986ef0f41d3cf7e3a84,beautifulsoup_main_content_selectors,success,pending,
NHS_CYP_001,NHS,children_young_people,Mental health support for children and young people,https://www.nhs.uk/mental-health/children-and-young-adults/mental-health-support/,2026-07-18T19:49:01Z,200.0,knowledge_base/raw/NHS_CYP_001.html,knowledge_base/cleaned/NHS_CYP_001.md,222,1346,9a9be86ae62e09e30df82e5828501f423a98d650caece1d2397c2f60c2ca7be4,beautifulsoup_main_content_selectors,success,pending,
